doi,filename
10.1007/BF02478993,STDB-0101600101001-1968.pdf
10.1007/BF02478994,STDB-0101600101002-1968.pdf
10.1007/BF02478995,STDB-0101600101003-1968.pdf
10.1007/BF02478996,STDB-0101600101004-1968.pdf
10.1007/BF02478997,STDB-0101600101005-1968.pdf
10.1007/BF02478998,STDB-0101600101006-1968.pdf
10.1007/BF02478999,STDB-0101600101007-1968.pdf
10.1007/BF02479000,STDB-0101600101008-1968.pdf
10.1007/BF02479001,STDB-0101600101009-1968.pdf
10.1007/BF02479002,STDB-0101600101010-1968.pdf
10.1007/BF02479003,STDB-0101600101011-1968.pdf
10.1007/BF02479004,STDB-0101600101012-1968.pdf
10.1007/BF02473595,STDB-0101600102001-1968.pdf
10.1007/BF02473596,STDB-0101600102002-1968.pdf
10.1007/BF02473597,STDB-0101600102003-1968.pdf
10.1007/BF02473598,STDB-0101600102004-1968.pdf
10.1007/BF02473599,STDB-0101600102005-1968.pdf
10.1007/BF02473600,STDB-0101600102006-1968.pdf
10.1007/BF02473601,STDB-0101600102007-1968.pdf
10.1007/BF02473602,STDB-0101600102008-1968.pdf
10.1007/BF02473603,STDB-0101600102009-1968.pdf
10.1007/BF02473604,STDB-0101600102010-1968.pdf
10.1007/BF02473605,STDB-0101600102011-1968.pdf
10.1007/BF02473606,STDB-0101600102012-1968.pdf
10.1007/BF02473607,STDB-0101600102013-1968.pdf
10.1007/BF02473508,STDB-0101600103001-1968.pdf
10.1007/BF02473509,STDB-0101600103002-1968.pdf
10.1007/BF02473510,STDB-0101600103003-1968.pdf
10.1007/BF02473511,STDB-0101600103004-1968.pdf
10.1007/BF02473512,STDB-0101600103005-1968.pdf
10.1007/BF02473513,STDB-0101600103006-1968.pdf
10.1007/BF02473514,STDB-0101600103007-1968.pdf
10.1007/BF02473515,STDB-0101600103008-1968.pdf
10.1007/BF02473750,STDB-0101600104001-1968.pdf
10.1007/BF02473751,STDB-0101600104002-1968.pdf
10.1007/BF02473752,STDB-0101600104003-1968.pdf
10.1007/BF02473753,STDB-0101600104004-1968.pdf
10.1007/BF02473754,STDB-0101600104005-1968.pdf
10.1007/BF02473755,STDB-0101600104006-1968.pdf
10.1007/BF02473756,STDB-0101600104007-1968.pdf
10.1007/BF02473757,STDB-0101600104008-1968.pdf
10.1007/BF02473758,STDB-0101600104009-1968.pdf
10.1007/BF02473649,STDB-0101600201001-1969.pdf
10.1007/BF02473650,STDB-0101600201002-1969.pdf
10.1007/BF02473651,STDB-0101600201003-1969.pdf
10.1007/BF02473652,STDB-0101600201004-1969.pdf
10.1007/BF02473653,STDB-0101600201005-1969.pdf
10.1007/BF02473654,STDB-0101600201006-1969.pdf
10.1007/BF02473655,STDB-0101600201007-1969.pdf
10.1007/BF02473656,STDB-0101600201008-1969.pdf
10.1007/BF02473657,STDB-0101600201009-1969.pdf
10.1007/BF02473658,STDB-0101600201010-1969.pdf
10.1007/BF02473659,STDB-0101600201011-1969.pdf
